Colonne3,Class Type,Internal class no.,Colonne1,Colonne2,Item Number
90010780,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90010781,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90010782,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90010783,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90010784,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90010785,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90010786,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90010787,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90010788,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90010789,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90010790,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90010791,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90010792,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90010793,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90010794,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90010795,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90010796,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90010797,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90010798,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90010799,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90010800,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90010801,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90010802,001,349,U31171505_BRG_RLL,BRG ROLLER,10
90000084,001,350,U31171507_BRG_THR,BRG THRUST,10
90001151,001,350,U31171507_BRG_THR,BRG THRUST,10
90001152,001,350,U31171507_BRG_THR,BRG THRUST,10
90002052,001,350,U31171507_BRG_THR,BRG THRUST,10
90002053,001,350,U31171507_BRG_THR,BRG THRUST,10
90002054,001,350,U31171507_BRG_THR,BRG THRUST,10
90002055,001,350,U31171507_BRG_THR,BRG THRUST,10
90002056,001,350,U31171507_BRG_THR,BRG THRUST,10
90002057,001,350,U31171507_BRG_THR,BRG THRUST,10
90002058,001,350,U31171507_BRG_THR,BRG THRUST,10
90010814,001,350,U31171507_BRG_THR,BRG THRUST,10
90010815,001,350,U31171507_BRG_THR,BRG THRUST,10
90010816,001,350,U31171507_BRG_THR,BRG THRUST,10
90012062,001,350,U31171507_BRG_THR,BRG THRUST,10
90000057,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90000650,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90000651,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90001222,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90001223,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90001922,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90002003,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90002004,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90002005,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90002006,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90002007,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90002008,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90002009,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90002010,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90002011,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90002012,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90002103,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90003533,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90003586,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90003611,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90006994,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90006995,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90006996,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90006997,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90006998,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90007848,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90007851,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90007852,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90008109,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90008436,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90008437,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90008438,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90008439,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90008530,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90008531,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90008532,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90008533,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90008534,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90008535,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90008536,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90008537,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90008538,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90008596,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90008597,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90008598,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90008599,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90008680,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90008681,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90008682,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90008836,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90008837,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010418,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010419,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010510,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010511,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010512,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010513,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010514,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010515,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010516,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010517,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010518,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010519,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010520,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010521,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010522,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010523,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010524,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010525,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010526,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010527,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010528,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010529,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010530,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010531,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010532,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010533,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010534,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010535,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90010536,001,351,U31171511_BRG_PLB,BRG PILLOW BLOCK,10
90000037,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90000038,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90000638,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90001090,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90001091,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90001098,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90001099,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90001853,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90001854,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90001855,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90001856,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90001857,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90001858,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90001859,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
90001860,001,352,U31171530_BRG_CMF,BRG CAM FOLLOWER,10
